	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model2_10	anger	1.0	0.3134777376654633	0.4773247824095282	1.0	0.3134777376654633	0.4773247824095282	0.3134777376654633
1	../final/models/models_2nd_run/model2_10	confusion	1.0	0.6335740072202166	0.7756906077348066	1.0	0.6335740072202166	0.7756906077348066	0.6335740072202166
2	../final/models/models_2nd_run/model2_10	disgust	1.0	0.7304452466907341	0.8442280945757997	1.0	0.7304452466907341	0.8442280945757997	0.7304452466907341
3	../final/models/models_2nd_run/model2_10	embarrassment	1.0	0.542719614921781	0.7035881435257411	1.0	0.542719614921781	0.7035881435257411	0.542719614921781
4	../final/models/models_2nd_run/model2_10	excitement	1.0	0.9723225030084236	0.9859670530811471	1.0	0.9723225030084236	0.9859670530811471	0.9723225030084236
5	../final/models/models_2nd_run/model2_10	fear	1.0	0.5818291215403129	0.7356409281095474	1.0	0.5818291215403129	0.7356409281095474	0.5818291215403129
6	../final/models/models_2nd_run/model2_10	joy	1.0	0.2322503008423586	0.376953125	1.0	0.2322503008423586	0.376953125	0.2322503008423586
7	../final/models/models_2nd_run/model2_10	nervousness	1.0	0.9632972322503008	0.9813055470425989	1.0	0.9632972322503008	0.9813055470425989	0.9632972322503008
8	../final/models/models_2nd_run/model2_10	neutral	1.0	0.9903730445246691	0.9951632406287787	1.0	0.9903730445246691	0.9951632406287787	0.9903730445246691
9	../final/models/models_2nd_run/model2_10	pride	1.0	0.6155234657039711	0.7620111731843575	1.0	0.6155234657039711	0.7620111731843575	0.6155234657039711
10	../final/models/models_2nd_run/model2_10	sadness	1.0	0.8303249097472925	0.9072978303747534	1.0	0.8303249097472925	0.9072978303747534	0.8303249097472925
11	../final/models/models_2nd_run/model2_10	surprise	1.0	0.9663056558363418	0.9828641370869033	1.0	0.9663056558363418	0.9828641370869033	0.9663056558363418
